sample	pop	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32
HR1822	gutturalis	-0.075052051	-0.024664926	0.023308452	-0.001408776	0.016010414	0.006941719	0.005117903	-0.026415936	0.028050754	-0.026318495	-0.019898252	0.028240089	-0.003783245	-0.069444991	-0.015968246	-0.016853389	-0.028703246	0.062983749	-0.012204333	-0.011065454	0.007416059	0.008108755	-0.033870227	0.025800244	-0.060048626	0.05556294	-0.001430761	-0.030438143	0.038608548	0.001915332	0.050329832	-0.040971045
HR1224	gutturalis	-0.072153196	-0.025598087	0.01952277	-0.000449127	0.013731912	0.011289592	0.012292195	-0.008849525	0.02707962	-0.029744366	-0.017106293	0.027575307	-0.013331923	-0.055009205	0.003459556	-0.048480456	-0.133086279	0.052405781	-0.009181192	0.041894407	-0.004377084	0.027916765	-0.029514227	0.025689747	8.40E-03	0.047852769	0.016675871	0.027985799	-0.010506397	0.030536442	0.012158284	-0.054122553
HR1838	gutturalis	-0.06798863	-0.026544293	0.031648995	-0.020181773	-0.016863118	0.06093451	-0.011488699	0.011508863	0.001797929	-0.02527615	-0.015527804	0.058321237	0.012541004	-0.055091359	-0.054625098	-0.066086572	-0.121083132	0.0538023	-0.030070331	0.051167339	0.018932676	-0.012358596	-0.002455123	0.031863405	0.036295675	0.017714985	-0.047808148	0.000661567	-0.012645456	0.026141796	0.038070893	-0.030652685
HR1798	gutturalis	-0.058948163	-0.027020594	0.013440479	-0.016122611	0.013961943	0.00496471	0.010183964	-0.023671449	0.046816151	-0.039787728	-0.038227514	0.045652785	-0.005795856	-0.115724193	0.013005774	0.012631996	0.021919001	0.010250919	-0.02151081	-0.08483152	0.0272168	-0.000305076	-0.019230157	-0.005481535	-0.021078333	0.001056768	0.050901983	-0.039180049	0.029526797	-0.076232417	0.083209509	-0.069898781
HR1289	gutturalis	-0.074256294	-0.027325386	0.030426391	-0.022821042	-0.021947153	0.062940219	-0.023923398	0.020288594	-0.001067517	-0.025907176	-0.010397592	0.055564366	0.028300906	-0.077117265	-0.107501054	-0.018899231	-0.189350899	0.044845358	-0.047156397	0.014090737	0.068584582	0.065637951	0.037010944	-0.024433875	-0.13046323	-0.056186748	0.02145887	-0.046120901	-0.011415388	-0.010409477	-0.079978777	-0.032505009
HR1279	gutturalis	-0.057706706	-0.029369757	0.028751096	-0.023692031	-0.024952635	0.063433437	-0.014358774	0.000443792	-0.003894555	-0.02097966	-0.010499405	0.05929356	0.034736602	-0.105601491	-0.111250713	0.009439681	-0.072451076	0.018498634	-0.03935315	-0.016661337	0.090075428	0.047708056	0.064373092	-0.054966952	-0.146828769	-0.07662658	0.040569639	-0.03855097	-0.029645213	0.008281197	-0.122549574	0.008999692
HR1848	gutturalis	-0.067525968	-0.030701175	0.031449983	-0.030053936	-0.025892243	0.060942168	-0.006195894	-0.000176968	-0.003718405	-0.036236061	0.013844818	0.050613281	0.028288515	-0.051235202	-0.065987815	0.027698518	-0.00636492	0.138813723	-0.029433944	-0.002207446	0.12615439	0.101242081	0.047011742	0.321834866	0.092228447	0.195523547	0.075840668	-0.029160299	-0.215066087	0.01826536	0.222678214	-0.092122094
HR1311	gutturalis	-0.057518823	-0.038780247	0.038456945	-0.023244165	-0.040897811	0.065693493	-0.013666121	0.011351449	-0.009204999	-0.009360628	-0.013734793	0.051318952	0.05416431	-0.113216487	-0.109762796	0.005555101	-0.099589464	0.016602669	-0.027523618	-0.04919057	0.105863177	0.052222571	0.043599497	-0.149436781	-0.17776678	-0.154824282	0.066664569	-0.015364841	-0.050319094	-0.002766757	-0.173940325	0.026628618
HR1307	gutturalis	-0.072134367	-0.039593882	0.035150522	-0.020860856	-0.027158792	0.075936871	-0.015139072	0.013166424	-0.013643859	-0.035220961	-0.017799914	0.063593663	0.046562392	-0.104762149	-0.12603281	-0.067721793	-0.263467596	0.010869169	-0.070046593	0.033489516	0.022489359	0.034229824	0.021465788	-0.065369636	-0.098731004	-0.134788811	0.002044802	-0.008171848	-0.037278709	0.036459694	-0.139181944	0.020736124
HR1791	gutturalis	-0.073262243	-0.041478329	0.018887894	-0.016770095	-0.021757447	0.046655648	-0.02125187	0.018196735	-0.021101923	-0.039574661	-0.000877354	0.048525868	0.037458965	-0.050740455	-0.057396173	0.126301586	-0.198319331	0.009748844	-0.039652833	0.038583957	-0.039253934	-0.060268718	-0.075678303	0.182071794	0.137616499	0.020474698	-0.176397686	-0.016288867	0.020427808	-0.021664316	0.162186208	-0.322383798
HR1808	gutturalis	-0.071137704	-0.043868506	0.037022517	0.001958685	-0.026057705	0.067139186	0.005366714	0.011718795	-0.004447535	-0.030519809	0.006679229	0.045416304	0.020261489	-0.035966384	-0.041880361	-0.081290956	-0.115153341	0.019923321	-0.042687789	0.064178588	-0.021896914	-0.0030144	-0.019861086	0.057725812	0.040239449	-0.029736481	0.024606576	-0.024494144	0.065838092	0.006065034	0.108562384	-0.029686882
HR1162	gutturalis	-0.060729405	-0.050730763	0.020555976	-0.005019827	-0.01417935	0.055530901	-0.016472384	0.007120321	-0.00322751	-0.011418132	-0.008948828	0.009445264	0.003747886	0.021202388	-0.054722078	-0.072776358	-0.068093531	-0.072082426	0.028731496	0.062844544	-0.014155922	-0.021381236	-0.04770803	-0.013679512	0.104617278	-0.044734036	-0.005667885	0.029935017	-0.006522387	-0.030088204	0.082355871	0.062228294
HR1777	gutturalis	-0.059551086	-0.051474817	0.024186335	-0.011508509	0.005393552	-0.001591288	0.007485375	-0.030139943	0.027588954	-0.018421567	-0.023063493	0.025238111	-0.015072641	-0.104901628	-0.002823938	-0.025035158	0.027010589	-0.012476981	-0.020815042	-0.067853714	0.016775993	0.013200972	-0.015252148	-0.008505297	0.015259712	-0.003472931	0.050899485	-0.027246271	-0.017094597	-0.073691378	0.030653005	0.050310722
HR1107	gutturalis	-0.064121219	-0.054718385	0.024309201	0.003093175	-0.005608477	0.051291525	0.018632033	0.007314527	-0.012842447	0.016181717	0.009011387	0.000392264	0.005982832	0.03606017	-0.052007588	-0.035713085	0.100514158	-0.039659416	0.03249807	-0.010337843	-0.117018716	-0.086018471	-0.069322643	0.005235847	-0.033753918	-0.055242216	-0.051910056	-0.000483998	-0.017451548	0.033621714	-0.009452085	-0.07894689
HR1158	gutturalis	-0.054968385	-0.062561556	0.012441494	-0.007778626	0.007016176	-0.008741646	0.023505009	-0.017064365	-0.001895888	-0.016075724	-0.015169214	-0.034044629	-0.001184336	-0.031316708	0.050166253	-0.082539975	-0.25950946	-0.159575003	-0.01329758	0.18637011	-0.226681813	-0.142666051	-0.113336168	-0.047841435	0.192501771	0.075016661	-0.185619686	-0.093343057	-0.034553138	-0.1221575	-0.093377137	0.075892334
HR1105	gutturalis	-0.078769887	-0.064521389	0.009617061	0.014106319	0.005437437	-0.039178927	0.049119692	-0.016822912	0.001459755	0.01530817	0.016242256	-0.042420834	-0.024256739	0.015476735	0.031460385	0.054524109	0.013578655	0.020011286	-0.044788725	-0.028956413	0.049097112	0.001968181	0.037092997	-0.043177675	0.063905104	-0.043939884	0.014472238	-0.005919971	-0.151999194	-0.165411027	0.016961086	0.074819414
HR1036	gutturalis	-0.063917956	-0.066560748	0.027965432	-0.019290467	-0.000615334	-0.011504057	0.006913949	-0.022679869	0.023289629	-0.009244137	-0.018259156	-0.001257917	-0.021790772	-0.078155949	0.027306691	0.032534182	0.051341942	-0.026972251	0.062033217	-0.032370348	0.004606734	-0.012384812	-0.017389211	-0.025237035	0.087859794	-0.018302111	0.021333753	0.073449218	-0.031272988	-0.055941799	-0.044124469	0.080692517
HR1171	gutturalis	-0.064624935	-0.066841793	0.02487285	-0.009297026	-0.015019176	-0.002065583	0.026599878	-0.026531657	0.032526275	-0.017875861	-0.020517635	0.007015528	-0.018861758	-0.090059238	0.0206377	0.010219926	0.046186569	-0.04057507	0.023711467	-0.030118999	0.0307241	0.048094519	0.014044905	-0.012483482	0.05208531	-0.049599291	0.05665159	0.060868137	-0.024604511	-0.071173311	0.057390942	0.093556226
HR1040	gutturalis	-0.062549841	-0.066864912	0.026885431	-0.016840643	-0.034912404	0.019243506	-0.008905038	0.004972632	-0.018329103	-0.010652094	0.001068884	0.012288461	0.024516304	-0.050567178	-0.008523598	0.092393193	0.029015329	-0.072031956	0.052428541	-0.043126193	-0.004260119	-0.006220504	-0.045272279	0.001935706	0.058603205	0.047181556	0.033249958	0.043427753	-0.081423767	-0.028151191	-0.06328821	0.061704239
HR1058	gutturalis	-0.074743425	-0.0712306	0.030596897	-0.000310571	0.003710873	-0.005659691	0.024638623	-0.014579057	0.018682084	0.003151493	-0.014371041	0.005336992	0.008308254	-0.062191458	0.012859222	-0.007549103	0.01328337	-0.014326122	0.024205744	-0.053251759	0.033928415	-0.013725068	-0.017169896	-0.040051047	0.090000216	-0.017067423	-0.01160598	0.019465614	0.009875991	-0.060233395	0.020690801	-0.033679908
HR1089	gutturalis	-0.091136927	-0.072153459	0.022458775	0.021266566	-0.003326335	-0.019428032	0.026694967	-0.008059011	0.01308622	-0.001520974	0.024839845	-0.025785719	-0.021536665	0.026547024	0.006026506	0.022363007	-0.004499013	0.035492587	0.000584456	-0.021898898	0.005629986	-0.002481366	-0.008102691	-0.029316813	0.032110235	-0.040425324	0.015853266	0.012489143	0.00333043	0.00255239	0.033555899	-0.034784658
HR1041	gutturalis	-0.089300963	-0.074348826	0.029606257	0.000938696	-0.020792923	0.045197854	0.0176477	0.008932573	-0.017947343	0.00257048	0.020533447	-0.002027083	0.02299176	0.008114221	-0.03309962	0.017397941	-0.066949068	-0.007156283	0.032327534	-0.004473767	-3.24E-02	-0.017194735	-0.025757018	-0.032452992	0.074493137	-0.027409412	0.005400902	0.020303159	0.05272607	-0.018803526	-0.01931573	0.040452025
HR1100	gutturalis	-0.089263178	-0.074719182	0.020922933	0.02502962	-0.035945844	0.040161365	0.013321286	0.009127302	-0.039526306	-0.005456743	0.069626546	-0.027655029	-0.000628946	0.102013198	-0.040176757	0.048665427	-0.113811093	0.055657151	-0.071292223	0.004126203	-0.148679378	-0.028402107	-0.106255994	0.053417434	0.19321784	0.039518139	0.110656712	0.035813596	0.226142306	0.162012095	-0.070954321	0.00429382
HR1098	gutturalis	-0.08173608	-0.074810903	0.017085583	0.010993879	-0.000747326	-0.027897117	0.046505065	-0.00877558	0.016422669	-0.001673981	0.047669794	-0.051158276	-0.007419882	0.0156889	0.02950533	0.04965452	0.05874447	0.118474154	-0.030470519	-0.142359882	-0.056396007	-0.000255031	0.001247749	-0.027393611	0.120018934	-0.010792514	0.100289181	0.045720151	0.022588762	0.004412928	0.114709066	0.0743611
HR1099	gutturalis	-0.090147667	-0.075274097	0.019961146	0.01879497	-0.003964575	-0.024138828	0.02980941	-0.013948944	0.004808738	-0.002272841	0.030932539	-0.039608303	-0.013840061	0.03638159	0.029809733	0.013538203	0.005874273	0.015133847	-0.005532664	-0.019744236	0.000634888	0.007105048	0.024533416	0.006287446	0.045357583	-0.028219317	0.002850838	0.028802683	0.058614622	-0.004361242	0.006891638	0.017488457
HR1086	gutturalis	-0.096072949	-0.075491732	0.022652627	0.030300839	-0.020240295	0.024890483	0.018541958	0.003875288	-0.03796957	0.002010684	0.052340048	-0.026554144	0.014327155	0.074018856	-0.036706136	0.032327027	-0.082923943	0.038638397	0.047056804	0.036268981	-0.024180785	-0.012301733	-0.012923175	0.016591699	0.05641742	-0.019521152	0.00080501	0.010034397	0.037445506	0.004380942	-0.005661798	0.007965623
HR1075	gutturalis	-0.081285698	-0.076709329	0.028455624	0.000450256	-0.000795613	-0.005409575	0.02032162	-0.017938231	0.022250756	0.005619149	-0.006510064	0.000381986	0.001979716	-0.027463578	0.015960793	-0.023974749	0.015745321	-0.026537718	0.034514262	-0.002262818	0.030907688	0.038596757	-0.008082077	-0.002822092	0.07112786	-0.003341497	0.054485593	0.037686549	0.012252186	-0.006627792	0.016282509	-0.037760643
HR1104	gutturalis	-0.088868901	-0.07773914	0.025643133	0.013662985	-0.005546562	-0.027457609	0.027017019	-0.005750257	0.010162264	0.000964817	0.040338646	-0.03020238	-0.020315669	0.043824209	0.036737938	0.01895928	-0.002593945	0.033759232	-0.023384544	0.00259489	0.021887665	0.023235664	0.003382573	0.000918578	0.042878021	-0.019580811	0.034377661	0.023090267	0.022866074	0.026635845	0.039385251	0.006274448
HR1003	gutturalis	-0.087311371	-0.078001987	0.035831446	-0.003537892	-0.028648571	0.024390124	-0.005988119	-5.60E-05	-0.011428526	0.003137283	0.020789305	-0.006949411	0.021945209	-0.013390639	-0.021490793	0.051953382	0.034257833	-0.021211207	0.070476372	0.001127326	0.038631786	0.024217914	0.001777247	0.019558186	0.096863142	0.001801122	0.045630131	0.064121625	-0.024405555	-0.037775288	-0.040856632	0.050308772
HR1091	gutturalis	-0.068189359	-0.078373353	0.036072035	-0.004577729	-0.016669803	-0.406198203	-0.518865251	0.0259532	-0.089505508	0.027372792	-0.075153214	0.055905695	0.017746741	0.025716454	-0.049085922	-0.044421949	0.007131258	-0.008256954	-0.002246491	0.002454397	6.49E-05	-0.002857502	-0.000650609	0.002754704	-0.018071331	0.003486777	-0.006052136	-0.013177504	-0.001864425	5.89E-03	0.008000688	-0.001742321
