indv,pop,lat,long,loc,hi_kitlg,hi_plxnc1,hi_spef2_prlr,hi_slc45a2,hi_bnc2,hi_gnaq,hi_ror2,hi_apc_camk4,hi_ice1_lncrna,hi_pde1c
HR1094,gutturalis,34.345602,108.804064,xian,1,0.7099162,1,0.3401292,0.0018052,1,1,1,0.4494666,0.9266309
HR1099,gutturalis,34.34585,108.806332,xian,0.9563696,1,1,1,0.6831956,1,1,1,1,0.6500722
HR1093,gutturalis,34.345602,108.804064,xian,1,0.7336489,1,1,1,0.9211983,1,1,1,0.7195768
HR1103,gutturalis,34.34575,108.804787,xian,0.4543074,1,1,0.3659029,1,0.7041082,1,0.9997529,1,0.7386498
HR1105,gutturalis,34.345581,108.803438,xian,0.5307538,1,1,1,1,1,1,1,0,0.7668704
HR1098,gutturalis,34.345831,108.806155,xian,0.8821078,0.9289803,0,0.0560757,1,1,1,1,0,0.8607303
HR1100,gutturalis,34.34585,108.806332,xian,0.1584131,1,1,1,1,1,1,1,0.0811151,0.8900581
HR1089,gutturalis,34.345502,108.803216,xian,0.9740709,0.9970328,1,1,1,1,1,1,1,1
HR1104,gutturalis,34.345581,108.803438,xian,1,1,1,1,1,1,1,1,1,1
HR1091,gutturalis,34.345586,108.804045,xian,1,1,1,1,0.8695735,1,1,1,1,0.7770198
HR1095,gutturalis,34.345479,108.803325,xian,1,0.966856,1,0.8574012,1,1,1,1,1,1
HR1003,gutturalis,18.983182,109.494661,hainan,1,0.8331533,1,1,1,1,1,1,1,1
HR1015,gutturalis,19.271525,109.04566,hainan,0.9430803,1,1,1,1,1,1,1,1,1
HR1019,gutturalis,19.272785,109.044973,hainan,1,1,1,1,1,1,1,1,0,1
HR1021,gutturalis,22.791937,108.330895,nanning,1,1,1,1,1,1,1,1,1,1
HR1036,gutturalis,22.791924,108.318192,nanning,1,1,1,0.9999708,1,1,1,1,1,1
HR1040,gutturalis,28.401219,112.807309,changsha,1,1,1,1,0.3954412,0.938278,1,1,1,1
HR1041,gutturalis,28.400926,112.806638,changsha,0.1163844,1,1,1,1,1,1,1,1,0.752077
HR1051,gutturalis,28.406485,112.807168,changsha,1,1,1,1,1,0.3797748,1,1,1,0.9861853
HR1058,gutturalis,34.780917,113.651164,zhengzhou,0.6245279,1,1,0.999628,0.7500044,1,1,1,1,0.3020429
HR1075,gutturalis,34.841651,113.676505,zhengzhou,1,1,1,1,0.9147727,0.9654571,1,1,1,0.8775735
HR1107,gutturalis,38.461518,106.286518,yinchaun,0.4624699,1,0.9938193,0.3420601,1,0.8299408,1,1,1,1
HR1158,gutturalis,40.551872,109.999407,baotu,1,1,0.3955402,0.3232616,0.6212924,1,1,1,1,1
HR1162,gutturalis,40.569825,110.02473,baotu,0.3364277,1,0.9279449,1,1,1,1,1,1,0.2702002
HR1171,gutturalis,39.819231,116.332896,beijing,1,1,0.8875002,0.4674004,1,0.9525466,1,1,1,1
HR1177,gutturalis,46.59295,131.248593,shuang,1,0.9961819,0.8316397,1,1,1,1,1,1,1
HR1198,gutturalis,46.621317,131.205603,shuang,0.9801024,0.9640442,0.4732507,1,1,1,1,1,1,1
HR1223,gutturalis,47.340427,123.97338,qiqihar,0.1742216,1,0.8289844,1,1,1,0.7851429,1,1,0.8394491
HR1224,gutturalis,47.337668,123.977624,qiqihar,1,0.7353897,0.8396855,1,0.5864675,1,1,0.9796249,0.8576088,1
HR1777,gutturalis,39.92558,119.594752,qinhuangdao,0.6713318,0.9058803,0.0358994,0.0378565,1,1,1,1,0.3139379,0.2172503
HR1791,gutturalis,39.92558,119.594752,qinhuangdao,1,1,0.897677,0.8796928,1,1,1,1,1,1
HR1798,gutturalis,41.808232,123.525653,shenyang,0.4587322,1,0.9450109,1,1,1,0.5175518,1,0.8328751,0.1709286
HR1808,gutturalis,43.906216,125.314668,changchun,0.4085661,0.8948494,0.5294323,0.844378,0.9296776,1,1,1,1,0.6234575
HR1822,gutturalis,43.905951,125.315042,changchun,1,1,0.8290307,1,1,1,0.9441333,0.9998832,1,0
HR1838,gutturalis,45.761237,126.609063,harbin,0.6454767,1,0.7105409,1,1,0.997962,1,1,1,0.8626457
HR1848,gutturalis,45.761237,126.609063,harbin,0.2687766,0.8072348,0.5633792,0.8711822,1,0.9972188,1,1,1,0.5498516
